Team,HC,HC_Hired,OC,OC_Hired,PlayCaller,PlayCaller_Hired,DC,DC_Hired,GM,GM_Hired
ARI,Mike LaFleur,2026,Nathaniel Hackett,2026,Mike LaFleur,2026,Nick Rallis,2023,Monti Ossenfort,2023
ATL,Kevin Stefanski,2026,Tommy Rees,2026,Tommy Rees,2026,Jeff Ulbrich,2025,Ian Cunningham,2026
BAL,Jesse Minter,2026,Declan Doyle,2026,Declan Doyle,2026,Anthony Weaver,2026,Eric DeCosta,2019
BUF,Joe Brady,2026,Pete Carmichael,2026,Joe Brady,2023,Jim Leonhard,2026,Brandon Beane,2017
CAR,Dave Canales,2024,Brad Idzik,2024,Dave Canales,2024,Ejiro Evero,2023,Dan Morgan,2024
CHI,Ben Johnson,2025,Press Taylor,2026,Ben Johnson,2025,Dennis Allen,2025,Ryan Poles,2022
CIN,Zac Taylor,2019,Dan Pitcher,2024,Zac Taylor,2019,Al Golden,2025,Duke Tobin,2002
CLE,Todd Monken,2026,Travis Switzer,2026,Todd Monken,2026,Mike Rutenberg,2026,Andrew Berry,2020
DAL,Brian Schottenheimer,2025,Klayton Adams,2025,Brian Schottenheimer,2025,Christian Parker,2026,Jerry Jones,1989
DEN,Sean Payton,2023,Davis Webb,2026,Sean Payton,2023,Vance Joseph,2023,George Paton,2021
DET,Dan Campbell,2021,Drew Petzing,2026,Drew Petzing,2026,Kevin Sheppard,2025,Brad Holmes,2021
GB,Matt LaFleur,2019,Adam Stenavich,2022,Matt LaFleur,2019,Jonathan Gannon,2026,Brian Gutekunst,2018
HOU,DeMeco Ryans,2023,Nick Caley,2025,Nick Caley,2025,Matt Burke,2023,Nick Caserio,2021
IND,Shane Steichen,2023,Jim Bob Cooter,2023,Shane Steichen,2023,Lou Anarumo,2025,Chris Ballard,2017
JAX,Liam Coen,2025,Grant Udinski,2025,Liam Coen,2025,Anthony Campanile,2026,James Gladstone,2025
KC,Andy Reid,2013,Eric Bieniemy,2026,Andy Reid,2013,Steve Spagnuolo,2019,Brett Veach,2017
LAC,Jim Harbaugh,2024,Mike McDaniel,2026,Mike McDaniel,2026,Chris O'Leary,2026,Joe Hortiz,2024
LAR,Sean McVay,2017,Nate Scheelhaase,2026,Sean McVay,2017,Chris Shula,2024,Les Snead,2012
LV,Klint Kubiak,2026,Andrew Janocko,2026,Klint Kubiak,2026,Rob Leonard,2026,John Spytek,2025
MIA,Jeff Hafley,2026,Bobby Slowik,2026,Bobby Slowik,2026,Sean Duggan,2026,Jon-Eric Sullivan,2026
MIN,Kevin O'Connell,2022,Wes Phillips,2022,Kevin O'Connell,2022,Brian Flores,2023,Kwesi Adofo-Mensah,2022
NE,Mike Vrabel,2025,Josh McDaniels,2025,Josh McDaniels,2025,Zak Kuhr,2026,Eliot Wolf,2024
NO,Kellen Moore,2025,Doug Nussmeier,2025,Kellen Moore,2025,Brandon Staley,2025,Mickey Loomis,2002
NYG,John Harbaugh,2026,Matt Nagy,2026,Matt Nagy,2026,Dennard Wilson,2026,Joe Schoen,2022
NYJ,Aaron Glenn,2025,Frank Reich,2026,Frank Reich,2026,Brian Duker,2026,Darren Mougey,2025
PHI,Nick Sirianni,2021,Sean Mannion,2026,Sean Mannion,2026,Vic Fangio,2024,Howie Roseman,2010
PIT,Mike McCarthy,2026,Brian Angelichio,2026,Mike McCarthy,2026,Patrick Graham,2026,Omar Khan,2022
SEA,Mike Macdonald,2024,Brian Fleury,2026,Brian Fleury,2026,Aden Durde,2024,John Schneider,2010
SF,Kyle Shanahan,2017,Klay Kubiak,2025,Kyle Shanahan,2017,Raheem Morris,2026,John Lynch,2017
TB,Todd Bowles,2022,Zac Robinson,2026,Zac Robinson,2026,Todd Bowles,2019,Jason Licht,2014
TEN,Robert Saleh,2026,Brian Daboll,2026,Brian Daboll,2026,Gus Bradley,2026,Mike Borgonzi,2025
WAS,Dan Quinn,2024,David Blough,2026,David Blough,2026,Dan Quinn,2026,Adam Peters,2024
