position,player,count,probability,moneyline
CB,Mansoor Delane,3887,0.7774,-349
CB,Jermod McCoy,1061,0.2122,+371
CB,Avieon Terrell,52,0.0104,+9515
DT,Peter Woods,4073,0.8146,-439
DT,Caleb Banks,487,0.0974,+927
DT,Kayden McDonald,391,0.0782,+1179
DT,Lee Hunter,23,0.0046,+21639
EDGE,Arvell Reese,3005,0.601,-151
EDGE,David Bailey,1718,0.3436,+191
EDGE,Rueben Bain,277,0.0554,+1705
IOL,Olaivavega Ioane,4915,0.983,-5782
IOL,Emmanuel Pregnon,21,0.0042,+23710
IOL,Chase Bisontis,5,0.001,+99900
LB,Sonny Styles,4999,0.9998,-499900
LB,C.J. Allen,1,0.0002,+499900
OT,Francis Mauigoa,3142,0.6284,-169
OT,Monroe Freeling,1314,0.2628,+281
OT,Spencer Fano,518,0.1036,+865
OT,Kadyn Proctor,17,0.0034,+29312
OT,Caleb Lomu,8,0.0016,+62400
OT,Blake Miller,1,0.0002,+499900
QB,Fernando Mendoza,5000,1.0,-inf
RB,Jeremiyah Love,4999,0.9998,-499900
S,Caleb Downs,4481,0.8962,-863
S,Dillon Thieneman,478,0.0956,+946
S,Emmanuel McNeil-Warren,41,0.0082,+12095
TE,Kenyon Sadiq,4422,0.8844,-765
WR,Carnell Tate,3708,0.7416,-287
WR,Makai Lemon,766,0.1532,+553
WR,Jordyn Tyson,526,0.1052,+851
