position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5396,-117,0.46040000000000003,+117,6.3818
OT,5.5,0.2492,+301,0.7508,-301,5.9428
WR,5.5,0.3236,+209,0.6764,-209,5.6424
CB,3.5,0.478,+109,0.522,-109,3.5228
S,2.5,0.2906,+244,0.7094,-244,2.6924
LB,2.5,0.894,-843,0.10599999999999998,+843,2.0846
DT,1.5,0.3008,+232,0.6992,-232,1.7738847015685475
IOL,1.5,0.7932,-384,0.20679999999999998,+384,1.1675116180819602
QB,1.5,0.9236,-1209,0.07640000000000002,+1209,1.0764
RB,1.5,0.9886,-8672,0.011399999999999966,+8672,1.0076289901626179
TE,1.5,0.806,-415,0.19399999999999995,+415,1.0
